company,employees,city,domain
"Frontline Real Estate Services Ltd.",5,"Langley",flre.ca
"CPI Capital - Real Estate Private Equity",11,"Vancouver",cpicapital.ca
"UBC Real Estate Club",11,"Vancouver",ubcrec.com
"Real Estate Institute of British Columbia",16,"Vancouver",reibc.org
"Hazem Sultan Personal Real Estate Corporation",2,"Vancouver",hazemsultan.com
"Aura Marketing Group",5,"Vancouver",auramarketinggroup.ca
"Stellar Recruitment Inc.",16,"Vancouver",stellar-recruitment.com
"BakerWest Real Estate Inc.",6,"Vancouver",bakerwest.com
"CoCalibrate Real Estate Solutions",1,"Vancouver",cocalibrate.com
"Vancouver Real Estate Podcast",3,"Vancouver",vancouverrealestatepodcast.com
"Goldbeck Recruiting",12,"Vancouver",goldbeck.com
"Taurus Commercial Real Estate Services Ltd.",15,"Surrey",tauruscommercial.ca
"Vancouver Real Estate Today",2,"Vancouver",vancouverrealestatetoday.ca
"Bolld Real Estate Management",7,"Vancouver",bolldpm.com
"Tallbridge Real Estate",18,"North Vancouver",tallbridgerealestate.com
"Oberoi Group",12,"White Rock",jasoberoi.ca
"WICRE (Women in Commercial Real Estate)",2,"Vancouver",wicre.ca
"Corbel Commercial Real Estate Services Inc.",5,"Vancouver",corbelcommercial.com
"Your Williamson Team - Real Estate - RE/MAX Crest Realty",2,"North Vancouver",yourwilliamsonteam.com
"BCIT Real Estate Association (BCITREA)",13,"Vancouver",bcitrea.ca
"Sukh Brar Real Estate Group",4,"Delta",sukhbrar.ca
"Epic Real Estate Solutions Inc.",10,"Kelowna",epicres.com
"Torus Talent",17,"Vancouver",torustalent.com
"Breakside Real Estate Group",20,"Surrey",breakside.ca
"Neeraj Kumar Real Estate",5,"",neerajkumar.ca
"Mining Association of BC",15,"Vancouver",mining.bc.ca
"Community Impact Real Estate Society",7,"Vancouver",communityimpactrealestate.ca
"Hirez Manpower Solutions Inc.",17,"Surrey",hirez.ca
"SFU Real Estate Club",12,"Burnaby",sfurealestate.ca
"WisdomWednesday.com",1,"Vancouver",wisdomwednesday.com
"AXIS Real Estate Solutions Inc.",15,"Surrey",axisrealestate.ca
"Luk Real Estate Group",6,"Vancouver",lukrealestategroup.com
"letus (previously RentMoola)",12,"Vancouver",let.us
"UrbanYVR",1,"Vancouver",urbanyvr.com
"Arrowleaf Real Estate Holdings Ltd.",9,"Vernon",arrowleaf.com
"RYSE REAL ESTATE MARKETING",3,"White Rock",therysemark.com
"UVic Real Estate",8,"Victoria",uvicrealestate.com
"Abby Rubin Personnel",7,"Vancouver",abbyrubinpersonnel.com
"NAIOP Vancouver",1,"Vancouver",naiopvcr.com
"Ace Project Marketing Group",19,"Kelowna",theacepmg.com
"LetHub",11,"Victoria",lethub.co
"Floorspace",16,"Vancouver",floorspace.ca
"Audacity Ventures Inc.",19,"Langley Township",audacityit.com
"BCBusiness",12,"Burnaby",bcbusiness.ca
